platform,platform_label,platform_status,workload,workload_label,model_active_ratio,backend,backend_label,latency_ms,ideal_latency_ms,energy_j_per_frame,latency_source,ideal_source,active_ratio_source,energy_source
4090,RTX 4090,measured,yolov8m,YOLOv8m,0.493417637,tile_skip,Tile skipping,11.630188411,3.177162321,,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8m,YOLOv8m,0.493417637,gather_scatter,Gather-scatter,20.263046035,3.177162321,,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8m,YOLOv8m,0.493417637,wiseconv,WISEConv,3.460314171,3.177162321,,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,dynconv_pose,DynConv,0.155603885,dense,Dense,3.865693710,0.601516960,,logs/dynconv_pose/4090-full-s0125-r3/summary.json,logs/dynconv_pose/4090-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4090,RTX 4090,measured,dynconv_pose,DynConv,0.155603885,tile_skip,Tile skipping,5.649997660,0.601516960,,logs/dynconv_pose/4090-full-s0125-r3/summary.json,logs/dynconv_pose/4090-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4090,RTX 4090,measured,dynconv_pose,DynConv,0.155603885,gather_scatter,Gather-scatter,76.859458003,0.601516960,,logs/dynconv_pose/4090-full-s0125-r3/summary.json,logs/dynconv_pose/4090-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4090,RTX 4090,measured,dynconv_pose,DynConv,0.155603885,wiseconv,WISEConv,2.516465562,0.601516960,,logs/dynconv_pose/4090-full-s0125-r3/summary.json,logs/dynconv_pose/4090-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
3080,RTX 3080,measured,fireflownet,FireFlowNet,0.249227525,dense,Dense,1.043358115,0.260028795,,logs/optical_flow/dense/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/dense/3080-v23-full-r3-1800mhz/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,fireflownet,FireFlowNet,0.249227525,tile_skip,Tile skipping,0.605519470,0.260028795,,logs/optical_flow/tile_skip/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/dense/3080-v23-full-r3-1800mhz/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,fireflownet,FireFlowNet,0.249227525,gather_scatter,Gather-scatter,2.051854015,0.260028795,,logs/optical_flow/gather_scatter/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/dense/3080-v23-full-r3-1800mhz/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,fireflownet,FireFlowNet,0.249227525,wiseconv,WISEConv,0.398664067,0.260028795,,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/dense/3080-v23-full-r3-1800mhz/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8n,YOLOv8n,0.477779588,dense,Dense,2.789095595,1.332553379,,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8n,YOLOv8n,0.477779588,tile_skip,Tile skipping,3.516528360,1.332553379,,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8n,YOLOv8n,0.477779588,gather_scatter,Gather-scatter,11.968813086,1.332553379,,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8n,YOLOv8n,0.477779588,wiseconv,WISEConv,1.581794986,1.332553379,,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8m,YOLOv8m,0.493417637,dense,Dense,10.177840243,5.021897337,,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8m,YOLOv8m,0.493417637,tile_skip,Tile skipping,15.480770516,5.021897337,,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8m,YOLOv8m,0.493417637,gather_scatter,Gather-scatter,16.565888967,5.021897337,,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,yolov8m,YOLOv8m,0.493417637,wiseconv,WISEConv,5.966742940,5.021897337,,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
3080,RTX 3080,measured,dynconv_pose,DynConv,0.155603885,dense,Dense,5.986501688,0.931522922,,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
3080,RTX 3080,measured,dynconv_pose,DynConv,0.155603885,tile_skip,Tile skipping,6.916904644,0.931522922,,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
3080,RTX 3080,measured,dynconv_pose,DynConv,0.155603885,gather_scatter,Gather-scatter,57.133688674,0.931522922,,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
3080,RTX 3080,measured,dynconv_pose,DynConv,0.155603885,wiseconv,WISEConv,3.203092204,0.931522922,,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,fireflownet,FireFlowNet,0.249227525,dense,Dense,1.078512727,0.268797615,,logs/optical_flow/dense/4070-laptop-full-r3/summary.json,logs/optical_flow/dense/4070-laptop-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,fireflownet,FireFlowNet,0.249227525,tile_skip,Tile skipping,0.863771485,0.268797615,,logs/optical_flow/tile_skip/4070-laptop-full-r3/summary.json,logs/optical_flow/dense/4070-laptop-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,fireflownet,FireFlowNet,0.249227525,gather_scatter,Gather-scatter,2.172464583,0.268797615,,logs/optical_flow/gather_scatter/4070-laptop-full-r3/summary.json,logs/optical_flow/dense/4070-laptop-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,fireflownet,FireFlowNet,0.249227525,wiseconv,WISEConv,0.565474709,0.268797615,,logs/optical_flow/wiseconv/4070-laptop-full-r3/summary.json,logs/optical_flow/dense/4070-laptop-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8n,YOLOv8n,0.477779588,dense,Dense,3.047415568,1.455980806,,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8n,YOLOv8n,0.477779588,tile_skip,Tile skipping,3.798947997,1.455980806,,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8n,YOLOv8n,0.477779588,gather_scatter,Gather-scatter,8.539008088,1.455980806,,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
